SYMBOL	CATEGORY	LIST
SAMD15		Patel
TFRC		Patel
LEF1		Patel
SOAT2		Patel
UQCC2		Patel
ALDH3B2		Patel
TNIK		Patel
STAM		Patel
MT1B		Patel
UBL5		Patel
OTOA		Patel
TARS		Patel
ODC1		Patel
SLC25A21		Patel
IARS		Patel
CR2		Patel
IRAK3		Patel
CAPN11		Patel
DOK7		Patel
TCF24		Patel
SLC2A3		Patel
MIR1289-2		Patel
PCDHB7		Patel
OBSCN		Patel
OR52I2		Patel
TSTD2		Patel
SUGP2		Patel
ALG10B		Patel
KIAA1257		Patel
MIR328		Patel
RPL10		Patel
RPL15		Patel
KIF20B		Patel
TMEM14C		Patel
PPARD		Patel
RGP1		Patel
RGPD1		Patel
TLR10		Patel
LMBR1L		Patel
HSD17B13		Patel
SULT1A3		Patel
RALGDS		Patel
CCNDBP1		Patel
C6orf106		Patel
CXXC1		Patel
TCAF1		Patel
SLC1A5		Patel
HGSNAT		Patel
BLCAP		Patel
CPSF7		Patel
SLC4A10		Patel
GPSM3		Patel
TBXAS1		Patel
SMIM29		Patel
ATP6V0E1		Patel
TOPAZ1		Patel
DMAC1		Patel
NAT14		Patel
MIR4443		Patel
PRTN3		Patel
