TERM	SYMBOL	CATEGORY	LIST
Ras	CALM2		Manuela
Apelin	CALM3		Manuela
Calcium	CALM3		Manuela
cAMP	CALM3		Manuela
cGMP-PKG	CALM3		Manuela
Estrogen	CALM3		Manuela
Insulin	CALM3		Manuela
Phosphatidylinositol signaling system	CALM3		Manuela
Rap1	CALM3		Manuela
Ras	CALM3		Manuela
Apelin	CALML3		Manuela
Calcium	CALML3		Manuela
cAMP	CALML3		Manuela
cGMP-PKG	CALML3		Manuela
Estrogen	CALML3		Manuela
Insulin	CALML3		Manuela
Phosphatidylinositol signaling system	CALML3		Manuela
Rap1	CALML3		Manuela
Ras	CALML3		Manuela
Apelin	CALML4		Manuela
Calcium	CALML4		Manuela
cAMP	CALML4		Manuela
cGMP-PKG	CALML4		Manuela
Estrogen	CALML4		Manuela
Insulin	CALML4		Manuela
Phosphatidylinositol signaling system	CALML4		Manuela
Rap1	CALML4		Manuela
Ras	CALML4		Manuela
Apelin	CALML5		Manuela
Calcium	CALML5		Manuela
cAMP	CALML5		Manuela
cGMP-PKG	CALML5		Manuela
Estrogen	CALML5		Manuela
Insulin	CALML5		Manuela
Phosphatidylinositol signaling system	CALML5		Manuela
Rap1	CALML5		Manuela
Ras	CALML5		Manuela
Apelin	CALML6		Manuela
Calcium	CALML6		Manuela
cAMP	CALML6		Manuela
cGMP-PKG	CALML6		Manuela
Estrogen	CALML6		Manuela
Insulin	CALML6		Manuela
Phosphatidylinositol signaling system	CALML6		Manuela
Rap1	CALML6		Manuela
Ras	CALML6		Manuela
Calcium	CAMK2A		Manuela
cAMP	CAMK2A		Manuela
ErbB	CAMK2A		Manuela
HIF-1	CAMK2A		Manuela
Wnt	CAMK2A		Manuela
Calcium	CAMK2B		Manuela
cAMP	CAMK2B		Manuela
ErbB	CAMK2B		Manuela
HIF-1	CAMK2B		Manuela
Wnt	CAMK2B		Manuela
Calcium	CAMK2D		Manuela
cAMP	CAMK2D		Manuela
ErbB	CAMK2D		Manuela
HIF-1	CAMK2D		Manuela
Wnt	CAMK2D		Manuela
Calcium	CAMK2G		Manuela
cAMP	CAMK2G		Manuela
ErbB	CAMK2G		Manuela
HIF-1	CAMK2G		Manuela
Wnt	CAMK2G		Manuela
Apelin	CAMK4		Manuela
Calcium	CAMK4		Manuela
cAMP	CAMK4		Manuela
AMPK	CAMKK2		Manuela
NF-kappa B	CARD10		Manuela
NF-kappa B	CARD11		Manuela
NF-kappa B	CARD14		Manuela
TNF	CASP10		Manuela
MAPK	CASP3		Manuela
p53	CASP3		Manuela
TNF	CASP3		Manuela
TNF	CASP7		Manuela
p53	CASP8		Manuela
TNF	CASP8		Manuela
p53	CASP9		Manuela
PI3K-Akt	CASP9		Manuela
Thyroid hormone	CASP9		Manuela
VEGF	CASP9		Manuela
FoxO	CAT		Manuela
ErbB	CBL		Manuela
Insulin	CBL		Manuela
ErbB	CBLB		Manuela
Insulin	CBLB		Manuela
Calcium	CCKAR		Manuela
Calcium	CCKBR		Manuela
Chemokine	CCL1		Manuela
Cytokine-cytokine receptor interaction	CCL1		Manuela
Chemokine	CCL11		Manuela
Cytokine-cytokine receptor interaction	CCL11		Manuela
Chemokine	CCL13		Manuela
Cytokine-cytokine receptor interaction	CCL13		Manuela
