TERM	SYMBOL	CATEGORY	LIST
CH	APC		Compendium
CH	ARAF		Compendium
CH	AR		Compendium
CH	ARID1A		Compendium
CH	ARID2		Compendium
CH	ATM		Compendium
CH	BAP1		Compendium
CH	BCOR		Compendium
CH	BIRC6		Compendium
CH	CDH11		Compendium
CH	CDKN2A		Compendium
CH	CLTC		Compendium
CH	ELF3		Compendium
CH	EPHA2		Compendium
CH	ERBB2		Compendium
CH	ERBB3		Compendium
CH	EXT2		Compendium
CH	FBXW7		Compendium
CH	FGFR2		Compendium
CH	GNAS		Compendium
CH	IDH1		Compendium
CH	IDH2		Compendium
CH	KDM6A		Compendium
CH	KEAP1		Compendium
CH	KMT2C		Compendium
CH	KMT2D		Compendium
CH	KRAS		Compendium
CH	LRP1B		Compendium
CH	MAP2K4		Compendium
CH	NCOR1		Compendium
CH	NF1		Compendium
CH	NRAS		Compendium
CH	PBRM1		Compendium
CH	PCDH17		Compendium
CH	PIK3CA		Compendium
CH	PIK3R1		Compendium
CH	PTEN		Compendium
CH	RBM10		Compendium
CH	RNF43		Compendium
CH	SF3B1		Compendium
CH	SMAD4		Compendium
CH	STK11		Compendium
CH	TGFBR2		Compendium
CH	TP53		Compendium
CH	TRRAP		Compendium
CLL	ARAF		Compendium
CLL	ARID1A		Compendium
CLL	ASXL1		Compendium
CLL	ATM		Compendium
CLL	ATRX		Compendium
CLL	BCOR		Compendium
CLL	BCR		Compendium
CLL	BIRC3		Compendium
CLL	BRAF		Compendium
CLL	BTG1		Compendium
CLL	CCND2		Compendium
CLL	CHD2		Compendium
CLL	CNOT3		Compendium
CLL	CREBBP		Compendium
CLL	DDX3X		Compendium
CLL	DTX1		Compendium
CLL	EGR2		Compendium
CLL	FAT1		Compendium
CLL	FAT3		Compendium
CLL	FAT4		Compendium
CLL	FBXW7		Compendium
CLL	FUBP1		Compendium
CLL	HIST1H4I		Compendium
CLL	IKZF3		Compendium
CLL	IRF4		Compendium
CLL	KDR		Compendium
CLL	KMT2D		Compendium
CLL	KRAS		Compendium
CLL	LRP1B		Compendium
