TERM	SYMBOL	CATEGORY	LIST
Natural killer T cell	CCDC88A	Innate	Immunome
Natural killer T cell	CLEC1A	Innate	Immunome
Natural killer T cell	THBD	Innate	Immunome
Natural killer T cell	PDPN	Innate	Immunome
Natural killer T cell	VCAM1	Innate	Immunome
Natural killer T cell	EMR1	Innate	Immunome
Neutrophil	CREB5	Innate	Immunome
Neutrophil	CDA	Innate	Immunome
Neutrophil	CHST15	Innate	Immunome
Neutrophil	S100A12	Innate	Immunome
Neutrophil	APOBEC3A	Innate	Immunome
Neutrophil	CASP5	Innate	Immunome
Neutrophil	MMP25	Innate	Immunome
Neutrophil	HAL	Innate	Immunome
Neutrophil	C1orf183	Innate	Immunome
Neutrophil	FFAR2	Innate	Immunome
Neutrophil	MAK	Innate	Immunome
Neutrophil	CXCR1	Innate	Immunome
Neutrophil	STEAP4	Innate	Immunome
Neutrophil	MGAM	Innate	Immunome
Neutrophil	BTNL8	Innate	Immunome
Neutrophil	CXCR2	Innate	Immunome
Neutrophil	TNFRSF10C	Innate	Immunome
Neutrophil	VNN3	Innate	Immunome
Plasmacytoid dendritic cell	CBX6	Innate	Immunome
Plasmacytoid dendritic cell	DAB2	Innate	Immunome
Plasmacytoid dendritic cell	DDX17	Innate	Immunome
Plasmacytoid dendritic cell	HIGD1A	Innate	Immunome
Plasmacytoid dendritic cell	IDH3A	Innate	Immunome
Plasmacytoid dendritic cell	IL3RA	Innate	Immunome
Plasmacytoid dendritic cell	MAGED1	Innate	Immunome
Plasmacytoid dendritic cell	NUCB2	Innate	Immunome
Plasmacytoid dendritic cell	OFD1	Innate	Immunome
Plasmacytoid dendritic cell	OGT	Innate	Immunome
Plasmacytoid dendritic cell	PDIA4	Innate	Immunome
Plasmacytoid dendritic cell	SERTAD2	Innate	Immunome
Plasmacytoid dendritic cell	SIRPA	Innate	Immunome
Plasmacytoid dendritic cell	TMED2	Innate	Immunome
Plasmacytoid dendritic cell	ENG	Innate	Immunome
Plasmacytoid dendritic cell	FCAR	Innate	Immunome
Plasmacytoid dendritic cell	IGF1	Innate	Immunome
Plasmacytoid dendritic cell	ITGA2B	Innate	Immunome
Plasmacytoid dendritic cell	GABARAP	Innate	Immunome
Plasmacytoid dendritic cell	GPX1	Innate	Immunome
Plasmacytoid dendritic cell	KRT23	Innate	Immunome
Plasmacytoid dendritic cell	PROK2	Innate	Immunome
Plasmacytoid dendritic cell	RALB	Innate	Immunome
Plasmacytoid dendritic cell	RETNLB	Innate	Immunome
Plasmacytoid dendritic cell	RNF141	Innate	Immunome
Plasmacytoid dendritic cell	SEC14L1	Innate	Immunome
Plasmacytoid dendritic cell	SEPX1	Innate	Immunome
Plasmacytoid dendritic cell	EMP3	Innate	Immunome
Plasmacytoid dendritic cell	CD300LF	Innate	Immunome
Plasmacytoid dendritic cell	ABTB1	Innate	Immunome
Plasmacytoid dendritic cell	KLHL21	Innate	Immunome
Plasmacytoid dendritic cell	PHRF1	Innate	Immunome
Regulatory T cell	CCL3L1	Adaptive	Immunome
Regulatory T cell	CD72	Adaptive	Immunome
Regulatory T cell	CLEC5A	Adaptive	Immunome
Regulatory T cell	FOXP3	Adaptive	Immunome
Regulatory T cell	ITGA4	Adaptive	Immunome
Regulatory T cell	L1CAM	Adaptive	Immunome
Regulatory T cell	LIPA	Adaptive	Immunome
Regulatory T cell	LRP1	Adaptive	Immunome
Regulatory T cell	LRRC42	Adaptive	Immunome
Regulatory T cell	MARCO	Adaptive	Immunome
Regulatory T cell	MMP12	Adaptive	Immunome
Regulatory T cell	MNDA	Adaptive	Immunome
Regulatory T cell	MRC1	Adaptive	Immunome
Regulatory T cell	MS4A6A	Adaptive	Immunome
Regulatory T cell	PELO	Adaptive	Immunome
Regulatory T cell	PLEK	Adaptive	Immunome
Regulatory T cell	PRSS23	Adaptive	Immunome
