TERM	SYMBOL	CATEGORY	LIST
T cells	CD3D		Senbabaoglu
T cells	CD3G		Senbabaoglu
T cells	TRAC		Senbabaoglu
T cells	NCALD		Senbabaoglu
T cells	LCK		Senbabaoglu
T cells	PRKCQ		Senbabaoglu
T cells	TRAT1		Senbabaoglu
T cells	CD2		Senbabaoglu
T cells	CD96		Senbabaoglu
Tcm cells	PSPC1		Senbabaoglu
Tcm cells	SNRPN		Senbabaoglu
Tcm cells	STX16		Senbabaoglu
Tcm cells	PDXDC2P		Senbabaoglu
Tcm cells	PDXDC2P		Senbabaoglu
Tcm cells	INPP4B		Senbabaoglu
Tcm cells	USP9Y		Senbabaoglu
Tcm cells	RP11-74E24.2		Senbabaoglu
Tcm cells	REPS1		Senbabaoglu
Tcm cells	NEFL		Senbabaoglu
Tcm cells	ATM		Senbabaoglu
Tcm cells	NFATC3		Senbabaoglu
Tcm cells	PCM1		Senbabaoglu
Tcm cells	SLC7A6		Senbabaoglu
Tcm cells	FYB		Senbabaoglu
Tcm cells	CASP8		Senbabaoglu
Tcm cells	TRAF3IP3		Senbabaoglu
Tcm cells	AQP3		Senbabaoglu
Tcm cells	PHC3		Senbabaoglu
Tcm cells	CEP68		Senbabaoglu
Tcm cells	FOXP1		Senbabaoglu
Tcm cells	KLF12		Senbabaoglu
Tcm cells	CLUAP1		Senbabaoglu
Tcm cells	TIMM8A		Senbabaoglu
Tcm cells	DOCK9		Senbabaoglu
Tcm cells	FAM153B		Senbabaoglu
Tcm cells	CYLD		Senbabaoglu
Tcm cells	ATF7IP		Senbabaoglu
Tcm cells	PCNX		Senbabaoglu
Tcm cells	TXK		Senbabaoglu
Tcm cells	CDC14A		Senbabaoglu
Tcm cells	MAP3K1		Senbabaoglu
Tcm cells	HNRNPH1		Senbabaoglu
Tcm cells	CREBZF		Senbabaoglu
Tcm cells	POLR2J2		Senbabaoglu
Tcm cells	POLR2J2		Senbabaoglu
Tcm cells	ST3GAL1		Senbabaoglu
Tcm cells	RPP38		Senbabaoglu
Tcm cells	TIMM8A		Senbabaoglu
Tem cells	LTK		Senbabaoglu
Tem cells	EZR		Senbabaoglu
Tem cells	EWSR1		Senbabaoglu
Tem cells	PRKY		Senbabaoglu
Tem cells	CCR2		Senbabaoglu
Tem cells	MEFV		Senbabaoglu
Tem cells	DDX17		Senbabaoglu
Tem cells	TBC1D5		Senbabaoglu
Tem cells	AKT3		Senbabaoglu
Tem cells	GDPD5		Senbabaoglu
Tem cells	TBCD		Senbabaoglu
Tem cells	FLI1		Senbabaoglu
Tem cells	NFATC4		Senbabaoglu
Tfh cells	LDLRAD4		Senbabaoglu
Tfh cells	SMAD1		Senbabaoglu
Tfh cells	CHGB		Senbabaoglu
Tfh cells	HIST1H4K		Senbabaoglu
Tfh cells	MYO6		Senbabaoglu
Tfh cells	SIRPG		Senbabaoglu
Tfh cells	KCNK5		Senbabaoglu
Tfh cells	ZNF764		Senbabaoglu
Tfh cells	TSHR		Senbabaoglu
Tfh cells	POMT1		Senbabaoglu
Tfh cells	CXCL13		Senbabaoglu
Tfh cells	PVALB		Senbabaoglu
Tfh cells	SLC7A10		Senbabaoglu
Tfh cells	ICA1		Senbabaoglu
Tfh cells	MAGEH1		Senbabaoglu
Tfh cells	CXCR5		Senbabaoglu
Tfh cells	MAF		Senbabaoglu
Tfh cells	TOX		Senbabaoglu
Tfh cells	PTPN13		Senbabaoglu
Tfh cells	MKL2		Senbabaoglu
Tfh cells	SH3TC1		Senbabaoglu
Tfh cells	STK39		Senbabaoglu
Tfh cells	MYO7A		Senbabaoglu
Tfh cells	CDK5R1		Senbabaoglu
Tfh cells	THADA		Senbabaoglu
Tfh cells	KIAA1324		Senbabaoglu
Tfh cells	PASK		Senbabaoglu
Tfh cells	CHI3L2		Senbabaoglu
Tfh cells	ST8SIA1		Senbabaoglu
Tfh cells	HEY1		Senbabaoglu
Tfh cells	PDCD1		Senbabaoglu
Tfh cells	B3GAT1		Senbabaoglu
Tfh cells	MYO7A		Senbabaoglu
Tgd cells	TRGV9		Senbabaoglu
Tgd cells	FEZ1		Senbabaoglu
Tgd cells	C1orf61		Senbabaoglu
Tgd cells	CD160		Senbabaoglu
Tgd cells	CD160		Senbabaoglu
Th17 cells	IL17RA		Senbabaoglu
Th17 cells	IL17A		Senbabaoglu
Th17 cells	RORC		Senbabaoglu
Th1 cells	BTG3		Senbabaoglu
Th1 cells	GGT1		Senbabaoglu
Th1 cells	CMAHP		Senbabaoglu
Th1 cells	CCL4		Senbabaoglu
Th1 cells	EGFL6		Senbabaoglu
Th1 cells	LRRN3		Senbabaoglu
Th1 cells	IFNG		Senbabaoglu
Th1 cells	DGKI		Senbabaoglu
Th1 cells	IL22		Senbabaoglu
Th1 cells	LTA		Senbabaoglu
Th1 cells	LRP8		Senbabaoglu
Th1 cells	SYNGR3		Senbabaoglu
Th1 cells	CTLA4		Senbabaoglu
Th1 cells	ATP9A		Senbabaoglu
Th1 cells	LTA		Senbabaoglu
Th1 cells	CSF2		Senbabaoglu
Th1 cells	DOK5		Senbabaoglu
Th1 cells	LTA		Senbabaoglu
